DEFAULT;ANTIUEDAD;EDAD;CUOTA_TOTAL;INGRESOS
1;37;77;3020519;8155593
1;37;74;1766552;6181263
1;31;79;1673786;4328075
1;10;52;668479;5290910
1;8;39;1223559;5333818
1;7;45;3517756;2710736
1;11;58;1304790;3169775
1;13;57;2095525;4799180
1;7;54;204865;2243815
1;20;51;1667409;5633822
1;8;43;1005258;3169775
1;8;54;212033;5371855
1;22;60;1645375;5151045
1;10;56;791494;4220210
1;3;30;34374;4384282
1;21;49;902701;2627953
1;34;67;1074994;2399995
1;32;74;1462352;4460461
1;4;35;603047;3757527
1;4;41;329206;3255735
1;18;52;2627471;6943849
1;36;74;3445927;7189661
1;37;69;1209747;7989982
1;9;60;1818518;5085609
1;4;58;258209;1327008
1;11;68;1329778;8644666
1;15;65;1263232;4859613
1;10;59;489521;6285180
1;7;53;110540;2206050
1;5;48;263526;3033314
1;1;50;99768;1020386
1;4;36;453171;1963314
1;34;69;237104;7282279
1;13;45;766539;5083544
1;7;48;891949;6469244
1;5;65;1838572;8021787
1;11;51;2181177;6226942
1;3;51;523735;1898021
1;9;37;1653668;3195563
0;37;85;24115;4697006
0;37;72;568986;6893640
0;12;92;996039;6004189
0;26;81;67383;7089742
0;34;68;779160;3333937
0;30;75;61657;4846126
0;30;69;15337;8220815
0;32;62;343470;7025822
0;33;75;309061;4552281
0;34;76;29411;6390700
0;37;80;1170512;6701020
0;37;71;2276940;5548454
0;37;69;849984;4411888
0;34;65;47453;6869614
0;14;68;1181234;6707524
0;28;77;598575;8277944
0;33;70;155467;2873853
0;10;61;627366;2857228
0;30;77;128168;5995407
0;30;68;392683;3812544
0;6;65;221871;6368884
0;21;54;121684;8414087
0;16;63;338853;5274850
0;17;47;1742808;6374901
0;17;58,6465753424658;216700;7409322
0;9;52;551578;2556397
0;3;56;52830;5355308
0;17;55,4904109589041;34904;5907494
0;13;47;998325;6706922
0;9;60;90943;3949307
0;19;60;219634;8126121
0;11;40;765288;3027404
0;12;67;140541;1879193
0;5;45,2657534246575;136000;7089121
0;37;79;511988;7561544
0;31;78;221292;4887738
0;30;78;384345;5610903
0;37;78;249594;4672347
0;34;78;1783438;4745759
0;33;80;1518855;3799383
0;30;83;99150;6283072
0;33;80,2767123287671;498075;5418672
0;33;77;327920;4536109
0;37;88;175460;2761257
0;34;84,0657534246575;880407;6216685
0;20;57;42575;7171294
0;15;59;1007620;6095791
0;37;68,4246575342466;202209;4274096
0;36;60;1131722;9504490
0;37;82;448998;4301126
0;30;78;20814;6522485
0;37;78;879855;6790134
0;33;76;1393476;5980530
0;34;74,4027397260274;213449;7269901
0;33;76;795421;6860759
0;34;65,0767123287671;92700;8179660
0;34;65;1222369;7710055
0;17;77;339164;4258175
0;27;74;170024;20924813
0;37;80;868;7705985
0;33;79;459605;4054810
0;34;78;1785928;7169026
0;37;75;3220577;7868828
0;37;73,4630136986301;314305;10329514
0;37;74;423909;8090449
0;36;76;1116103;7720167
0;36;73;1928471;8405755
0;33;70;354899;7775354
0;32;68;1259068;6028533
0;34;72;435290;2597667
0;31;74;13175;6847429
0;31;73;1821359;5424940
0;32;75;1583089;3443503
0;5;55,1150684931507;2296992;8729131
0;34;74;918051;8894374
0;17;60;581939;6841664
0;28;60;589936;7146822
0;32;62;2395060;9988552
0;37;79;2241287;8086816
0;37;76;342223;5803120
0;30;76;370465;5254486
0;17;76;195194;10329514
0;37;79;1016226;4303987
0;31;77;988204;4982211
0;31;74,0520547945205;84700;5347706
0;37;92;876248;2884844
0;27;73;1136305;3655192
0;33;74;1096954;6227707
0;37;74;1808849;11225079
0;20;73;516228;3607782
0;35;73;988208;7171177
0;37;72;2239852;10329514
0;37;71;923467;4907853
0;37;71;940802;4613067
0;21;72;583486;6973814
0;4;34;1057491;3468486
0;10;36;732272;2586380
0;26;72;2005582;7313364
0;32;65;1449985;6957846
0;32;69;1418775;6498683
0;31;57;658358;8354023
0;37;74;824614;4763412
0;5;60;1223365;7711257
0;25;70;1031453;7269101
0;0;44,6958904109589;106346;2772373
0;11;47;1361197;4530388
0;10;59;614246;11699803
0;21;63;494746;6445118
0;14;62;520881;6855203
0;1;53;211932;2850752
0;34;68;774139;6378917
0;10;49;1536834;4958818
0;7;52;1178066;4544168
0;33;72;278098;6614919
0;34;70;374808;4588560
0;33;68;673767;6177653
0;9;47;732545;5529377
0;37;73;457772;7273364
0;13;67;1462889;6089362
0;11;50;1452496;6764515
0;8;43;433337;2586380
0;34;73;868939;4549048
0;31;67;522442;10555908
0;33;65;347975;8327160
0;26;57;1692450;12037624
0;22;58,6712328767123;14590;7624759
0;34;70;172031;4250962
0;6;57;359081;1252720
0;34;63;1861404;13131465
0;3;35;968292;4278229
0;12;42;877871;3827369
0;33;69;913599;6038205
0;2;58;95567;1734780
0;11;48;48523;932335
0;4;45;746735;2688000
0;28;65;1214989;7980849
0;13;56;858920;7107094
0;5;51;1405404;6213834
0;18;56;1576976;7125762
0;20;54;2427554;7741235
0;35;69;627387;4041928
0;34;66;94006;7734618
0;9;61;1516168;5290910
0;13;59;1056269;3577861
0;8;54,9232876712329;228546;6125883
0;6;52;540932;3651734
0;34;65;310130;4908945
0;28;61;880842;12069859
0;37;68;2924153;9261883
0;17;63;2276616;10488732
0;28;54;103855;12303025
0;6;45;363729;3623214
0;6;34;451858;4530092
0;30;62;481900;6234571
0;33;65;1575318;4789716
0;37;71;2158220;5987559
0;11;71;1079747;5237113
0;32;70;1510856;5538434
0;33;60,2986301369863;531249;10125766
0;37;70;930577;4160667
0;6;70;48592;10227299
0;34;69;112549;5577038
0;3;31;476882;2492840
0;2;32;412057;3016910
0;3;30;1122269;5170494
0;4;32;369975;2173556
0;3;34;163430;3084890
0;19;65;1649074;3964905
0;16;65;627736;5108163
0;7;56;824521;2974216
0;23;54;1199217;9323720
0;11;53;1248019;9570142
0;21;54;1350930;2947500
0;37;69;2300525;5791910
0;31;69;122145;6234209
0;33;68;626247;11229492
0;35;70;2237541;10318982
0;24;69;74724;5466204
0;10;69;120594;4500006
0;27;70;1185102;6897656
0;37;69;1012166;7811489
0;34;69;1275845;4209197
0;37;67,5095890410959;434478;8888211
0;34;68;1386739;5302237
0;22;68;105254;4203688
0;33;68;1604621;7305430
0;30;68;1349568;4141329
0;37;68;2744857;13962053
0;33;67;604323;21295516
0;37;67;132257;7442206
0;25;70;2168206;5926884
0;37;67;831924;7386389
0;33;68;1813668;4934933
0;9;67;175100;3868497
0;32;67;1792025;6657119
0;34;69;2651716;7796967
0;32;66;2040;6391719
0;31;68;184209;5766999
0;36;66;1230988;6372322
0;37;66;2062428;10390889
0;32;67;1890439;8761887
0;33;67;1663927;9420358
0;35;66;514988;4153012
0;33;66;707589;9213730
0;37;65;648630;8100996
0;26;66;2858848;8261401
0;35;66;555986;5890156
0;32;67;160661;4743710
0;30;65;327461;6703493
0;13;65;3943;2354942
0;19;65;919372;4330774
0;33;64;2270901;6873461
0;13;65;761471;6340423
0;37;65;1491411;5703654
0;27;64;1707129;7199317
0;11;64;402781;4815694
0;30;64;1049866;6712079
0;11;63;403970;2047728
0;34;65;2144913;8796179
0;17;63;1827496;6383442
0;13;64;1215644;4831559
0;32;64;1033636;8378629
0;36;63;1756631;5173982
0;31;62;926555;4853688
0;30;62;1678894;6612151
0;37;62;2404265;5688725
0;4;62;337186;3920213
0;9;63;1111360;4046137
0;30;63;193254;6888848
0;21;63;606663;5799506
0;37;63;1875777;7133391
