Rotación;Edad;Viaje de Negocios;Departamento;Distancia_Casa;Educación;Campo_Educación;Satisfacción_Ambiental;Genero;Cargo;Satisfación_Laboral;Estado_Civil;Ingreso_Mensual;Trabajos_Anteriores;Horas_Extra;Porcentaje_aumento_salarial;Rendimiento_Laboral;Años_Experiencia;Capacitaciones;Equilibrio_Trabajo_Vida;Antigüedad;Antigüedad_Cargo;Años_ultima_promoción;Años_acargo_con_mismo_jefe
Si;41;Raramente;Ventas;1;2;Ciencias;2;F;Ejecutivo_Ventas;4;Soltero;5993;8;Si;11;3;8;0;1;6;4;0;5
No;49;Frecuentemente;IyD;8;1;Ciencias;3;M;Investigador_Cientifico;2;Casado;5130;1;No;23;4;10;3;3;10;7;1;7
Si;37;Raramente;IyD;2;2;Otra;4;M;Tecnico_Laboratorio;3;Soltero;2090;6;Si;15;3;7;3;3;0;0;0;0
No;33;Frecuentemente;IyD;3;4;Ciencias;4;F;Investigador_Cientifico;3;Casado;2909;1;Si;11;3;8;3;3;8;7;3;0
No;27;Raramente;IyD;2;1;Salud;1;M;Tecnico_Laboratorio;2;Casado;3468;9;No;12;3;6;3;3;2;2;2;2
No;32;Frecuentemente;IyD;2;2;Ciencias;4;M;Tecnico_Laboratorio;4;Soltero;3068;0;No;13;3;8;2;2;7;7;3;6
No;59;Raramente;IyD;3;3;Salud;3;F;Tecnico_Laboratorio;1;Casado;2670;4;Si;20;4;12;3;2;1;0;0;0
No;30;Raramente;IyD;24;1;Ciencias;4;M;Tecnico_Laboratorio;3;Divorciado;2693;1;No;22;4;1;2;3;1;0;0;0
No;38;Frecuentemente;IyD;23;3;Ciencias;4;M;Director_Manofactura;3;Soltero;9526;0;No;21;4;10;2;3;9;7;1;8
No;36;Raramente;IyD;27;3;Salud;3;M;Representante_Salud;3;Casado;5237;6;No;13;3;17;3;2;7;7;7;7
No;35;Raramente;IyD;16;3;Salud;1;M;Tecnico_Laboratorio;2;Casado;2426;0;No;13;3;6;5;3;5;4;0;3
No;29;Raramente;IyD;15;2;Ciencias;4;F;Tecnico_Laboratorio;3;Soltero;4193;0;Si;12;3;10;3;3;9;5;0;8
No;31;Raramente;IyD;26;1;Ciencias;1;M;Investigador_Cientifico;3;Divorciado;2911;1;No;17;3;5;1;2;5;2;4;3
No;34;Raramente;IyD;19;2;Salud;2;M;Tecnico_Laboratorio;4;Divorciado;2661;0;No;11;3;3;2;3;2;2;1;2
Si;28;Raramente;IyD;24;3;Ciencias;3;M;Tecnico_Laboratorio;3;Soltero;2028;5;Si;14;3;6;4;3;4;2;0;3
No;29;Raramente;IyD;21;4;Ciencias;2;F;Director_Manofactura;1;Divorciado;9980;1;No;11;3;10;1;3;10;9;8;8
No;32;Raramente;IyD;5;2;Ciencias;1;M;Investigador_Cientifico;2;Divorciado;3298;0;Si;12;3;7;5;2;6;2;0;5
No;22;No_Viaja;IyD;16;2;Salud;4;M;Tecnico_Laboratorio;4;Divorciado;2935;1;Si;13;3;1;2;2;1;0;0;0
No;53;Raramente;Ventas;2;4;Ciencias;1;F;Gerente;4;Casado;15427;2;No;16;3;31;3;3;25;8;3;7
No;38;Raramente;IyD;2;3;Ciencias;4;M;Investigador_Cientifico;4;Soltero;3944;5;Si;11;3;6;3;3;3;2;1;2
