Zona;piso;Estrato;precio_millon;Area_contruida;parqueaderos;Banos;Habitaciones;Tipo;Barrio;cordenada_longitud;Cordenada_latitud
Zona Sur;2;6;880;237;2;5;4;Casa;pance;-76,463;3,43
Zona Oeste;2;4;1200;800;3;6;7;Casa;miraflores;-76,464;3,428
Zona Sur;3;5;250;86;NA;2;3;Apartamento;multicentro;-76,464;3,429
Zona Sur;NA;6;1280;346;4;6;5;Apartamento;ciudad jardín;-76,464;3,433
Zona Sur;2;6;1300;600;4;7;5;Casa;pance;-76,46438;3,43463
Zona Sur;3;6;513;160;2;4;4;Casa;pance;-76,46438;3,43463
Zona Sur;2;6;870;490;3;6;5;Casa;ciudad jardín;-76,46438;3,43463
Zona Sur;5;5;310;82,5;1;2;3;Apartamento;valle del lili;-76,46438;3,43463
Zona Sur;9;4;240;80;1;2;3;Apartamento;valle del lili;-76,46438;3,43463
Zona Sur;6;6;690;150;2;5;4;Apartamento;pance;-76,46478;3,42783
Zona Oeste;4;5;220;92;2;3;3;Apartamento;zona oeste;-76,46498;3,42881
Zona Sur;NA;5;230;70;1;2;2;Apartamento;valle del lili;-76,465;3,436
Zona Sur;NA;5;160;63;NA;2;2;Apartamento;valle del lili;-76,465;3,436
Zona Sur;6;5;200;71;1;2;3;Apartamento;valle del lili;-76,465;3,436
Zona Sur;NA;5;270;76;NA;2;3;Apartamento;valle del lili;-76,465;3,436
Zona Sur;10;4;170;60;NA;2;3;Apartamento;valle del lili;-76,46516;3,43519
Zona Sur;NA;6;650;255;2;5;5;Casa;ciudad jardín;-76,46541;3,43312
Zona Sur;2;5;290;91;1;3;3;Apartamento;valle del lili;-76,46542;3,43419
Zona Sur;3;6;550;136;2;4;4;Apartamento;pance;-76,46554;3,42933
Zona Sur;8;5;300;90;2;2;3;Apartamento;ciudad bochalema;-76,46554;3,42933
Zona Oriente;NA;3;110;180;1;2;4;Casa;ciudad talanga;-76,4657;3,43452
Zona Oriente;NA;3;95;120;NA;1;4;Casa;ciudadela del río;-76,466;3,43
Zona Sur;1;6;850;300;4;6;4;Casa;ciudad jardín;-76,46691;3,42334
Zona Sur;12;6;580;145;2;5;3;Apartamento;ciudad jardín;-76,46691;3,42334
Zona Sur;3;4;226;80;1;2;3;Apartamento;valle del lili;-76,46699;3,43477
Zona Sur;2;4;280;160;2;3;4;Casa;valle del lili;-76,467;3,4345
Zona Sur;8;5;280;80;1;3;3;Apartamento;valle del lili;-76,467;3,4345
Zona Sur;8;5;240;80,49;1;2;3;Apartamento;valle del lili;-76,467;3,4345
Zona Sur;5;4;157;60;NA;2;2;Apartamento;valle del lili;-76,467;3,435
Zona Sur;1;4;165;60;1;2;3;Apartamento;valle del lili;-76,467;3,4345
Zona Norte;2;3;135;56;1;1;3;Apartamento;torres de comfandi;-76,46745;3,40763
Zona Sur;9;4;250;86;1;2;3;Apartamento;valle del lili;-76,468;3,434
Zona Sur;1;6;900;330;2;4;4;Casa;pance;-76,46809;3,41664
Zona Sur;NA;6;480;94;2;2;2;Apartamento;parcelaciones pance;-76,46809;3,41664
Zona Sur;NA;6;570;137;2;5;4;Apartamento;pance;-76,46851;3,42544
Zona Sur;3;6;595;146;2;4;4;Apartamento;ciudad jardín;-76,46851;3,42544
Zona Sur;4;5;1450;1200;2;6;6;Casa;el ingenio;-76,46862;3,43624
Zona Sur;2;6;1500;980;6;5;3;Casa;parcelaciones pance;-76,46878;3,42561
Zona Sur;4;6;510;148;2;3;3;Apartamento;pance;-76,46947;3,42527
Zona Sur;10;4;195;60;NA;2;2;Apartamento;ciudad bochalema;-76,46947;3,42498
Zona Sur;3;4;225;78;1;2;3;Apartamento;valle del lili;-76,46994;3,42718
Zona Sur;7;4;255;77;1;2;3;Apartamento;valle del lili;-76,47;3,427
Zona Sur;3;4;175;59;1;2;2;Apartamento;bochalema;-76,47;3,427
Zona Sur;6;6;1200;211;2;3;3;Apartamento;pance;-76,47039;3,41435
Zona Sur;NA;5;250;84;1;3;4;Casa;valle del lili;-76,471;3,429
