finca;mg;peso;diametro;altura
FINCA_1;GENOTIPO_1;13.73;4.7;5
FINCA_1;GENOTIPO_1;14.58;5.3;5.6
FINCA_1;GENOTIPO_1;15.88;4.8;5.8
FINCA_1;GENOTIPO_1;8.99;3.2;4.3
FINCA_1;GENOTIPO_1;6.99;2.2;3.3
FINCA_1;GENOTIPO_2;19.34;6.3;7.9
FINCA_1;GENOTIPO_2;21.44;6.6;8.3
FINCA_1;GENOTIPO_2;13.81;5.3;7.3
FINCA_1;GENOTIPO_2;11.88;4.9;6.7
FINCA_1;GENOTIPO_2;16.62;5.9;7.1
FINCA_1;GENOTIPO_1;7.03;2.5;3.7
FINCA_1;GENOTIPO_1;15.83;4.7;5.7
FINCA_1;GENOTIPO_1;7.47;2.2;3.5
FINCA_1;GENOTIPO_1;7.87;3.1;4
FINCA_1;GENOTIPO_1;11.04;3.7;4.6
FINCA_1;GENOTIPO_2;20.41;6.5;7.6
FINCA_1;GENOTIPO_2;20.06;6.4;8
FINCA_1;GENOTIPO_2;18.69;6.3;8.1
FINCA_1;GENOTIPO_2;12;4.9;7
FINCA_1;GENOTIPO_2;10.69;4.6;6.5
FINCA_1;GENOTIPO_1;14.09;4.2;5.2
FINCA_1;GENOTIPO_1;10.33;3.6;4.6
FINCA_1;GENOTIPO_1;18.16;5.6;6.2
FINCA_1;GENOTIPO_1;13.61;4.6;5.5
FINCA_1;GENOTIPO_1;9.93;3.5;4.3
FINCA_1;GENOTIPO_2;12.07;5;6.4
FINCA_1;GENOTIPO_2;9.89;4.3;6.3
FINCA_1;GENOTIPO_2;6.98;3;4.8
FINCA_1;GENOTIPO_2;14.44;5.5;7.4
FINCA_1;GENOTIPO_2;8.73;4;5.3
FINCA_2;GENOTIPO_2;16.24;5.8;8.1
FINCA_2;GENOTIPO_2;16.08;5.9;7.5
FINCA_2;GENOTIPO_2;23.82;7.1;9.3
FINCA_2;GENOTIPO_2;30.83;7.9;10.9
FINCA_2;GENOTIPO_2;26.38;7.1;9.2
FINCA_2;GENOTIPO_1;9.97;3.7;4.4
FINCA_2;GENOTIPO_1;17.01;5.4;6.2
FINCA_2;GENOTIPO_1;14.75;5.1;5.5
FINCA_2;GENOTIPO_1;20.75;6.2;6.8
FINCA_2;GENOTIPO_1;5.98;2.5;3.5
FINCA_2;GENOTIPO_2;25.24;6.6;8.6
FINCA_2;GENOTIPO_2;19.81;6.9;8.1
FINCA_2;GENOTIPO_2;32.44;7.9;9.4
FINCA_2;GENOTIPO_2;32.69;7.8;10
FINCA_2;GENOTIPO_2;16.94;5.4;8
FINCA_2;GENOTIPO_1;19.02;6;6
FINCA_2;GENOTIPO_1;14.99;5.2;5.8
FINCA_2;GENOTIPO_1;22.01;6.5;7
FINCA_2;GENOTIPO_1;20.24;6.4;7.4
FINCA_2;GENOTIPO_1;20.06;6;6.6
FINCA_2;GENOTIPO_2;30.51;7.2;9.4
FINCA_2;GENOTIPO_2;33.42;7.7;10.1
FINCA_2;GENOTIPO_2;45.41;8.7;9.6
FINCA_2;GENOTIPO_2;37.74;8.2;10.5
FINCA_2;GENOTIPO_2;47.87;8.8;11.3
FINCA_2;GENOTIPO_1;12.95;4.8;5.5
FINCA_2;GENOTIPO_1;17.71;5.8;6
FINCA_2;GENOTIPO_1;22.75;6.6;6.1
FINCA_2;GENOTIPO_1;23.02;6.8;7.5
FINCA_2;GENOTIPO_1;14.03;5;5.7
FINCA_3;GENOTIPO_2;13.98;4.7;5.8
FINCA_3;GENOTIPO_2;24.47;6;7.2
FINCA_3;GENOTIPO_2;22.82;6.7;7.8
FINCA_3;GENOTIPO_2;21.8;6.8;7.3
FINCA_3;GENOTIPO_2;18.12;5.9;7.7
FINCA_3;GENOTIPO_2;22.85;6;7.3
FINCA_3;GENOTIPO_2;23.14;6;7.5
FINCA_3;GENOTIPO_2;27.33;6.4;8
FINCA_3;GENOTIPO_2;29.16;7;8.3
FINCA_3;GENOTIPO_2;17.26;5.2;6.5
FINCA_3;GENOTIPO_2;34.38;7;8.8
FINCA_3;GENOTIPO_2;27.87;6.7;8.3
FINCA_3;GENOTIPO_2;27.45;6.8;7.2
FINCA_3;GENOTIPO_2;31.16;6.7;8.5
FINCA_3;GENOTIPO_2;23.35;5.9;7.5
FINCA_3;GENOTIPO_1;14.52;4.4;4.9
FINCA_3;GENOTIPO_1;13.01;4.2;4.8
FINCA_3;GENOTIPO_1;16.19;4.7;5.6
FINCA_3;GENOTIPO_1;18.67;5.3;6
FINCA_3;GENOTIPO_1;13.23;4.4;4.6
FINCA_3;GENOTIPO_1;14.03;4.2;4.7
FINCA_3;GENOTIPO_1;13.3;3.8;4.3
FINCA_3;GENOTIPO_1;17.96;5.3;5.8
FINCA_3;GENOTIPO_1;18.67;5.2;6
FINCA_3;GENOTIPO_1;13.34;3.5;5
FINCA_3;GENOTIPO_1;15.4;4.1;4.6
FINCA_3;GENOTIPO_1;14.91;3.9;4.8
FINCA_3;GENOTIPO_1;17.73;5;5.2
FINCA_3;GENOTIPO_1;21.12;5.4;6
FINCA_3;GENOTIPO_1;18.49;4.5;5.1
